Source,Type,Date,Title,link,Info,
UKHSA,Situation update news,"June 22, 2026",UKHSA update on the hantavirus cruise ship outbreak,https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak,"The UK Health Security Agency (UKHSA) can confirm that all remaining individuals have now left Arrowe Park.
 
 All passengers from the MV Hondius who subsequently returned to the UK have now completed their self-isolation periods.
 
 Professor Robin May, Chief Scientific Officer at UKHSA, said: 
 
 We would like to reiterate our thanks and gratitude to passengers, crew and other contacts for their cooperation throughout what has been a very challenging time for everyone affected.
 
 Our teams will continue to work closely with local authorities and the NHS to ensure everyone affected by this outbreak has the necessary support in place.
 
 Previous updates",
WHO ,Webinar,"June 16, 2026",WHO Health Emergencies EPI-WIN webinar: Hantavirus in focus IV: infection prevention and control - from isolation to safe discharge and quarantine,https://www.who.int/news-room/events/detail/2026/06/16/default-calendar/who-health-emergencies-epi-win-webinar-hantavirus-in-focus-iv-infection-prevention-and-control-from-isolation-to-safe-discharge-and-quarantine,"Tuesday, 16 June 2026, 14:00–15:00 (CEST)

Background
Infection prevention and control (IPC) practices have evolved significantly in recent years, particularly following the COVID-19 pandemic and ongoing outbreaks of emerging and re-emerging infectious diseases. While substantial guidance exists on the initiation of isolation and IPC measures, there remains limited operational clarity on:

Criteria for safe patient discharge
Timing and approach for discontinuation of transmission-based precautions (TBP)
Implementation of IPC measures in quarantine settings, especially in resource-constrained or community environments
On 22 May 2026, WHO hosted the 2nd EPI-WIN webinar, addressing the natural history of the virus, provided updates on the clinical care and management of cases, including supportive care approaches and potential therapeutics, and presented infection prevention and control (IPC) recommended for the management of suspected or confirmed Hantavirus cases.

Based on the available information and the existing observations of the current outbreak, limited human-to-human transmission of Andes virus (ANDV) is known to occur. While the available evidence suggests that there are multiple modes of transmission that occur with ANDV, the probability of onward transmission between humans remains low. In this recent outbreak of ANDV infection reported on a cruise ship, human-to-human transmission has also occurred. Considering the ongoing epidemiological studies and environmental sampling after the disembarkation of all passengers from MV Hondius, the exact mode(s) through which human-to-human transmission occurred and their relative contributions are yet to be fully understood.

Therefore, at present, WHO is operating under the assumption that ANDV transmission:

may include contact with an infected individual or contaminated surfaces,
and/or through-the-air transmission (via direct deposition of infectious respiratory particles onto exposed facial mucosal surfaces--mouth, nose or eyes)
and/or airborne transmission (via inhalation of infectious respiratory particles).
The virus does not exhibit transmission dynamics consistent with highly transmissible airborne pathogens (such as measles).

In the light of the above, and despite the available clinical management and IPC resources, there is limited detailed operational guidance on:

When to safely discontinue transmission-based precautions
How to approach discharge decisions
How to implement IPC effectively in quarantine settings
Objectives
Share principles guiding safe discharge of hantavirus patients
Describe the application of risk-based approaches to discontinuation of transmission-based precautions
Describe IPC strategies for quarantine and contact management, including home and facility settings
Share operational challenges and lessons learned. 
Agenda and Speakers
Introduction: EPI-WIN Science and Knowledge Translation, WHO 

Welcome remarks: Ana Paula Continho Rehse, Technical Officer (Infection Prevention and Control), WHO Regional Office for the European Region (EURO) and Tania Kelly, Case Management Expert, Safe and Scalable Care, Case Humanitarian and Disaster Management department, WHO Health Emergencies Programme (WHE)

When Is It Safe to Stop? What to consider when developing criteria for De-escalation of Transmission-Based Precautions: Colin Brown, Deputy Director of Epidemic & Emerging Infections, UK Health Security Agency 


Hantavirus transmission and IPC implications: operationalizing a risk-based approach with insights from Switzerland: Walter Zingg, Department of Infectious Diseases and Hospital Epidemiology, University Hospital Zurich

Q&A panel:

Marcela Ferres, Director, Infectious Diseases and Molecular Virology Laboratory, Pontifical Catholic University of Chile, Santiago

Katherine Willet, Medical Director, National Quarantine Unit, Nebraska, USA

Karin Ellen Veldkamp, Head and Chair of Infection Control, Department of Medical Microbiology, University Medical Center, Leiden, Netherlands

Octavio Arce Garcia, High Level Isolation Unit, Infectious Diseases Department, Hospital Central de la Defensa ""Gómez Ulla"", Madrid, Spain

Closing and next EPI-WIN: EPI-WIN Science and Knowledge Translation, WHO",
WHO,News,"June 15, 2026",Twenty-one countries launch coordinated Andes virus research initiative following hantavirus outbreak,https://www.who.int/news/item/12-06-2026-twenty-one-countries-launch-coordinated-andes-virus-research-initiative-following-hantavirus-outbreak,"Following the recent Andes virus (ANDV) outbreak linked to the MV Hondius cruise ship, a globally coordinated outbreak research initiative involving investigators and institutions across 21 countries has begun implementation, demonstrating how international research preparedness systems can be rapidly activated during health emergencies.
 
 The initiative, known as NAVIS, is a natural history study designed to improve understanding of ANDV transmission dynamics, incubation periods, immune responses, viral kinetics, and determinants of severe disease through harmonized longitudinal follow-up of exposed individuals.
 
 The study will use a harmonized prospective protocol, which was developed by Hospital Germans Trias i Pujol, Badalona, Spain, for immediate deployment after an emergency scientific consultation coordinated through the UK Health Security Agency (UKHSA)-led Hantavirus Collaborative Open Research Consortium (CORC) mobilized more than 1600 experts from over 130 countries to identify urgent scientific priorities and coordinate international research activities.",
CDC,Current Situation,"June 11, 2026",Andes Virus Outbreak on a Cruise Ship: Current Situation,https://www.cdc.gov/hantavirus/situation-summary/,"Key points
 CDC is responding to a deadly outbreak of Andes virus, a type of hantavirus, among passengers and crew of a cruise ship in the Atlantic Ocean.
 To date, no cases of Andes virus have been confirmed in the United States as a result of this outbreak.
 The risk of a pandemic caused by this outbreak and the overall risk to the American public and travelers is extremely low.
 This outbreak is evolving rapidly and the situation will continue to change. Below is what we know now and we will continue to update this page as the situation changes.",
CDC,Current Situation,"June 11, 2026",Andes Virus Outbreak on a Cruise Ship: Frequently Asked Questions,https://www.cdc.gov/hantavirus/faq/,"What to know
 CDC is responding to a deadly outbreak of Andes virus, a type of hantavirus, among passengers and crew of a cruise ship in the Atlantic Ocean.
 CDC staff are among the world's foremost hantavirus experts, with decades of experience responding to and controlling outbreaks.
 The risk of a pandemic caused by this outbreak and the overall risk to the American public and travelers remains extremely low.",
UKHSA,Situation report,"June 10, 2026",UKHSA update on the hantavirus cruise ship outbreak,https://www.gov.uk/government/news/ukhsa-update-on-the-hantavirus-cruise-ship-outbreak,"Latest update
UKHSA continues to work closely with partners in response to the hantavirus outbreak.

UKHSA laboratories have confirmed a positive hantavirus test result for an individual in Tristan de Cunha, who was previously considered a probable case by WHO with exposure on MV Hondius. This is not a new case.

The samples were collected in May and the individual is now clinically well at home in Tristan de Cunha.

All necessary public health actions have been carried out. There is no change to the public health risk to the UK population from Hantavirus, which remains very low.",
UKHSA,Situation update news,"June 9, 2026",Defence Medics parachute into Tristan da Cunha to treat hantavirus patient,https://www.gov.uk/government/news/defence-medics-parachute-into-tristan-da-cunha-to-treat-hantavirus-patient,"A British medical team, led by Wing Commander Toby Elkington, was rapidly deployed to Tristan da Cunha via a record-fast RAF flight and parachute insertion to treat a critically ill patient with hantavirus. The team provided advanced medical care, supported the local GPs, managed public health concerns, and reassured the isolated community, ultimately contributing to the patient’s recovery and strengthening medical relationships on the island.",
UKHSA,updated guidane,"June 5, 2026","Hantaviruses –The characteristics, diagnosis, epidemiology of hantaviruses.",https://www.gov.uk/guidance/hantaviruses,"Contents
Epidemiology
Transmission
Clinical features
Diagnosis
Treatment
Infection prevention and control for confirmed or suspected cases
Advice for reducing risk of infection in endemic regions
",
WHO,webinar,"June 4, 2026","Hantavirus in focus III: reflections from the IHR Border Health and Points of Entry perspective
Thursday 04 June 2026, 13.00 - 14.00 CET
",https://bit.ly/3RTjAl7,"Objectives 
•	To share experiences from national public health authorities and key border health stakeholders on their involvement in and initial reflections about the response to this multi-country public health event linked to cruise ship travel.   
•	To share experiences from national public health authorities and key border health stakeholders on the collaborative work for the management of public health events across borders, at points of entry, and onboard conveyances. 
Agenda and Speakers
Introduction: EPI-WIN Science and Knowledge Translation, WHO 
Welcome remarks:  Stella Chungong, Director, Department of Health Emergency Preparedness (HSP), WHO
Country’s initial reflections from a BH/PoE perspective: Thijs Veenstra, Senior policy adviser, Expert group Points of Entry, National Institute for Public Health and the Environment, Netherlands
Routine management of public health events on board conveyances: Barbara Mouchtouri, Professor of Hygiene and Epidemiology, University of Thessaly, Greece – WHO Collaborating Centre for IHR: Points of Entry
Facilitation role and WHO collaboration regarding public health management in maritime sector:
Julian Abril Garcia, Head, Facilitation Section, Maritime Safety Division, International Maritime Organization (IMO)
Facilitation role and WHO collaboration re public health management aviation sector: Johanna Jordaan, 
Chief, Aviation Medicine Section, International Civil Aviation Organization (ICAO)
Role of airline medical professionals: Rui Pombal, Medical Advisor, International Air Transport Association (IATA)
Other speakers to be confirmed
Interactive Q&A with speakers: Sara Barragan Montes, Technical officer (Border health & Points of Entry), Border, Mass Gatherings & Health Protection Measures, HSP, WHO
Conclusion: Ninglan Wang, Unit Head, Border, Mass Gatherings & Health Protection Measures, HSP, WHO
Closing and next EPI-WIN: EPI-WIN Science and Knowledge Translation, WHO",
WHO,Situation update news,"May 29, 2026","Disease Outbreak News:Hantavirus outbreak linked to cruise ship travel, Multi-locations",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON604,"Overview of outbreak related to Andes virus on cruise ship travel: Includes information on 13 cases (11 confirmed, 2 probable) and 3 deaths, human-to-human transmission, international contact tracing, and public health response measures.","Overview of outbreak related to Andes virus on cruise ship travel: Includes information on 13 cases (11 confirmed, 2 probable) and 3 deaths, human-to-human transmission, international contact tracing, and public health response measures."
